O*NET-SOC Code,Title,High School Diploma or Less,"Post-Secondary Certificate, Some College, or Associate's Degree",Bachelor's Degree,Postgraduate Degree,Values Achievement,Values Independence,Values Recognition,Values Relationships,Values Support,Values Working Conditions,Interest in Artistic Aspect,Interest in Conventional Aspect,Interest in Enterprising Aspect,Interest in Investigative Aspect,Interest in Realistic Aspect,Interest in Social Aspect
741,47-2231.00,Solar Photovoltaic Installers,0.447,0.403,0.139,0.011,0.571,0.476,0.429,0.429,0.571,0.5,0.193,0.58,0.24,0.379,1.0,0.183
742,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.822,0.116,0.0,0.062,0.239,0.286,0.286,0.667,0.667,0.404,0.213,0.484,0.143,0.201,1.0,0.273
743,47-3012.00,Helpers--Carpenters,0.79,0.211,0.0,0.0,0.286,0.429,0.286,0.619,0.476,0.333,0.193,0.506,0.239,0.18,0.993,0.294
744,47-3013.00,Helpers--Electricians,0.815,0.171,0.013,0.0,0.286,0.333,0.333,0.667,0.714,0.404,0.143,0.569,0.143,0.306,1.0,0.3
745,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0.9440000000000001,0.055999999999999994,0.0,0.0,0.286,0.333,0.239,0.476,0.476,0.333,0.254,0.496,0.194,0.159,0.931,0.347
746,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.543,0.36,0.0,0.097,0.333,0.429,0.239,0.524,0.619,0.357,0.143,0.529,0.194,0.186,0.977,0.257
747,47-3016.00,Helpers--Roofers,0.761,0.079,0.0,0.16,0.286,0.286,0.286,0.667,0.619,0.31,0.143,0.516,0.201,0.143,0.993,0.28
749,47-4011.00,Construction and Building Inspectors,0.36,0.43999999999999995,0.16,0.04,0.619,0.714,0.524,0.619,0.81,0.643,0.159,0.78,0.3,0.587,0.909,0.203
750,47-4011.01,Energy Auditors,0.414,0.344,0.207,0.034,0.619,0.667,0.619,0.524,0.667,0.596,0.143,0.847,0.477,0.596,0.647,0.27
751,47-4021.00,Elevator and Escalator Installers and Repairers,0.475,0.521,0.003,0.0,0.524,0.667,0.476,0.619,0.857,0.69,0.151,0.54,0.167,0.346,1.0,0.197
752,47-4031.00,Fence Erectors,0.7689999999999999,0.231,0.0,0.0,0.286,0.381,0.286,0.524,0.524,0.381,0.199,0.523,0.143,0.304,1.0,0.193
753,47-4041.00,Hazardous Materials Removal Workers,0.509,0.35300000000000004,0.138,0.0,0.381,0.524,0.333,0.524,0.904,0.453,0.143,0.611,0.169,0.371,1.0,0.207
754,47-4051.00,Highway Maintenance Workers,0.935,0.065,0.0,0.0,0.286,0.381,0.286,0.571,0.619,0.404,0.16,0.507,0.213,0.246,1.0,0.249
755,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,1.0,0.0,0.0,0.0,0.381,0.476,0.333,0.524,0.667,0.476,0.143,0.587,0.143,0.243,1.0,0.143
756,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,0.775,0.224,0.0,0.0,0.333,0.476,0.286,0.619,0.619,0.381,0.143,0.611,0.174,0.301,1.0,0.211
757,47-4091.00,Segmental Pavers,0.655,0.34500000000000003,0.0,0.0,0.333,0.571,0.333,0.619,0.667,0.404,0.28,0.489,0.186,0.229,0.959,0.194
759,47-4099.03,Weatherization Installers and Technicians,0.609,0.391,0.0,0.0,0.476,0.381,0.381,0.524,0.571,0.5,0.214,0.641,0.313,0.46,0.859,0.33
760,47-5011.00,"Derrick Operators, Oil and Gas",0.914,0.08499999999999999,0.0,0.0,0.333,0.429,0.333,0.667,0.81,0.429,0.143,0.52,0.234,0.363,1.0,0.144
761,47-5012.00,"Rotary Drill Operators, Oil and Gas",0.598,0.312,0.089,0.0,0.381,0.476,0.429,0.619,0.857,0.476,0.143,0.54,0.314,0.436,1.0,0.166
762,47-5013.00,"Service Unit Operators, Oil and Gas",1.0,0.0,0.0,0.0,0.381,0.524,0.333,0.619,0.81,0.453,0.143,0.596,0.263,0.364,1.0,0.167
763,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",0.943,0.057,0.0,0.0,0.333,0.571,0.286,0.476,0.667,0.429,0.143,0.507,0.143,0.343,1.0,0.143
764,47-5023.00,"Earth Drillers, Except Oil and Gas",0.879,0.122,0.0,0.0,0.429,0.571,0.333,0.429,0.714,0.453,0.163,0.527,0.243,0.511,1.0,0.169
765,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",0.667,0.33299999999999996,0.0,0.0,0.524,0.619,0.381,0.524,0.953,0.524,0.179,0.597,0.26,0.539,0.984,0.186
766,47-5041.00,Continuous Mining Machine Operators,0.853,0.147,0.0,0.0,0.286,0.286,0.286,0.524,0.761,0.476,0.143,0.56,0.196,0.353,1.0,0.154
767,47-5043.00,"Roof Bolters, Mining",1.0,0.0,0.0,0.0,0.429,0.381,0.333,0.667,0.857,0.429,0.143,0.496,0.146,0.377,1.0,0.143
768,47-5044.00,"Loading and Moving Machine Operators, Underground Mining",0.926,0.075,0.0,0.0,0.239,0.333,0.286,0.333,0.81,0.453,0.143,0.54,0.143,0.313,1.0,0.143
770,47-5051.00,"Rock Splitters, Quarry",0.81,0.0,0.0,0.19,0.239,0.286,0.239,0.381,0.619,0.333,0.25,0.459,0.167,0.297,0.994,0.179
771,47-5071.00,"Roustabouts, Oil and Gas",0.996,0.004,0.0,0.0,0.286,0.381,0.239,0.619,0.81,0.429,0.143,0.53,0.143,0.259,1.0,0.143
772,47-5081.00,Helpers--Extraction Workers,0.966,0.034,0.0,0.0,0.286,0.381,0.143,0.429,0.667,0.429,0.143,0.527,0.224,0.306,1.0,0.253
774,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.5720000000000001,0.3320000000000001,0.076,0.02,0.667,0.81,0.571,0.619,0.619,0.714,0.143,0.691,0.821,0.269,0.637,0.487
775,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",0.282,0.7150000000000001,0.004,0.0,0.476,0.571,0.381,0.476,0.619,0.547,0.143,0.766,0.224,0.401,0.874,0.224
776,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",0.349,0.554,0.098,0.0,0.619,0.429,0.381,0.429,0.619,0.547,0.151,0.647,0.194,0.493,0.956,0.196
777,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.431,0.396,0.174,0.0,0.571,0.714,0.381,0.619,0.81,0.69,0.143,0.677,0.227,0.346,0.927,0.259
778,49-2091.00,Avionics Technicians,0.182,0.785,0.033,0.0,0.571,0.571,0.524,0.619,0.761,0.547,0.177,0.67,0.143,0.594,1.0,0.191
779,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",0.328,0.673,0.0,0.0,0.476,0.524,0.429,0.571,0.714,0.524,0.143,0.584,0.151,0.397,1.0,0.163
780,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.283,0.573,0.0,0.144,0.524,0.429,0.429,0.571,0.667,0.571,0.143,0.687,0.146,0.481,1.0,0.166
781,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.22,0.78,0.0,0.0,0.476,0.619,0.429,0.429,0.667,0.619,0.143,0.763,0.159,0.576,1.0,0.143
782,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.082,0.894,0.024,0.0,0.476,0.714,0.333,0.524,0.81,0.596,0.143,0.753,0.186,0.503,1.0,0.153
783,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.47200000000000003,0.528,0.0,0.0,0.429,0.571,0.429,0.524,0.619,0.429,0.143,0.65,0.143,0.506,1.0,0.171
784,49-2097.00,Audiovisual Equipment Installers and Repairers,0.506,0.44300000000000006,0.052,0.0,0.429,0.476,0.381,0.571,0.619,0.453,0.221,0.68,0.16,0.389,0.97,0.229
785,49-2098.00,Security and Fire Alarm Systems Installers,0.414,0.586,0.0,0.0,0.476,0.571,0.429,0.619,0.714,0.453,0.147,0.694,0.231,0.471,0.953,0.199
786,49-3011.00,Aircraft Mechanics and Service Technicians,0.124,0.851,0.025,0.0,0.571,0.524,0.476,0.619,0.857,0.667,0.143,0.669,0.261,0.534,0.979,0.186
787,49-3021.00,Automotive Body and Related Repairers,0.654,0.346,0.0,0.0,0.429,0.571,0.381,0.619,0.667,0.5,0.206,0.49,0.197,0.254,1.0,0.143
788,49-3022.00,Automotive Glass Installers and Repairers,0.986,0.014,0.0,0.0,0.429,0.619,0.333,0.761,0.761,0.453,0.143,0.534,0.2,0.316,1.0,0.179
789,49-3023.00,Automotive Service Technicians and Mechanics,0.426,0.5740000000000001,0.0,0.0,0.524,0.619,0.429,0.547,0.619,0.511,0.143,0.619,0.227,0.51,1.0,0.206
790,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,0.379,0.621,0.0,0.0,0.524,0.524,0.476,0.619,0.714,0.5,0.143,0.533,0.186,0.469,1.0,0.219
791,49-3041.00,Farm Equipment Mechanics and Service Technicians,0.46399999999999997,0.509,0.0,0.026,0.571,0.667,0.381,0.429,0.761,0.476,0.143,0.586,0.144,0.446,1.0,0.193
792,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",0.322,0.678,0.0,0.0,0.571,0.619,0.524,0.619,0.714,0.571,0.143,0.6,0.143,0.507,1.0,0.143
793,49-3043.00,Rail Car Repairers,0.614,0.386,0.0,0.0,0.333,0.429,0.333,0.381,0.714,0.5,0.174,0.596,0.177,0.384,1.0,0.199
794,49-3051.00,Motorboat Mechanics and Service Technicians,0.302,0.6970000000000001,0.0,0.0,0.524,0.619,0.429,0.476,0.761,0.547,0.143,0.567,0.239,0.397,1.0,0.156
795,49-3052.00,Motorcycle Mechanics,0.257,0.636,0.095,0.013,0.571,0.714,0.476,0.286,0.619,0.596,0.169,0.511,0.143,0.443,1.0,0.206
796,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,0.602,0.398,0.0,0.0,0.476,0.667,0.381,0.476,0.667,0.524,0.143,0.597,0.177,0.383,1.0,0.154
797,49-3091.00,Bicycle Repairers,0.808,0.193,0.0,0.0,0.524,0.667,0.333,0.381,0.476,0.429,0.164,0.516,0.264,0.251,1.0,0.249
798,49-3092.00,Recreational Vehicle Service Technicians,0.482,0.498,0.0,0.021,0.429,0.571,0.381,0.476,0.619,0.476,0.143,0.573,0.183,0.373,1.0,0.231
799,49-3093.00,Tire Repairers and Changers,0.683,0.29300000000000004,0.0,0.024,0.286,0.381,0.286,0.476,0.571,0.286,0.143,0.49,0.224,0.251,1.0,0.251
800,49-9011.00,Mechanical Door Repairers,0.8799999999999999,0.119,0.0,0.0,0.381,0.667,0.333,0.381,0.667,0.453,0.143,0.547,0.143,0.25,0.983,0.213
801,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",0.47,0.516,0.014,0.0,0.333,0.619,0.286,0.381,0.761,0.476,0.143,0.679,0.143,0.407,1.0,0.17
802,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.23500000000000001,0.765,0.0,0.0,0.547,0.761,0.429,0.571,0.786,0.571,0.143,0.64,0.193,0.391,0.989,0.214
803,49-9031.00,Home Appliance Repairers,0.7659999999999999,0.234,0.0,0.0,0.476,0.667,0.333,0.429,0.619,0.571,0.143,0.714,0.211,0.303,1.0,0.236
804,49-9041.00,Industrial Machinery Mechanics,0.391,0.609,0.0,0.0,0.524,0.667,0.381,0.571,0.81,0.596,0.143,0.626,0.166,0.426,1.0,0.143
805,49-9043.00,"Maintenance Workers, Machinery",0.407,0.5670000000000001,0.0,0.026,0.476,0.714,0.333,0.571,0.81,0.547,0.143,0.64,0.171,0.307,1.0,0.143
806,49-9044.00,Millwrights,0.5,0.501,0.0,0.0,0.476,0.761,0.381,0.619,0.81,0.667,0.263,0.513,0.156,0.361,1.0,0.143
807,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",0.756,0.244,0.0,0.0,0.333,0.619,0.333,0.429,0.81,0.381,0.187,0.507,0.143,0.314,1.0,0.146
808,49-9051.00,Electrical Power-Line Installers and Repairers,0.6839999999999999,0.28800000000000003,0.0,0.028,0.429,0.667,0.333,0.524,0.904,0.619,0.143,0.524,0.246,0.376,1.0,0.17
809,49-9052.00,Telecommunications Line Installers and Repairers,0.727,0.273,0.0,0.0,0.333,0.571,0.333,0.619,0.714,0.524,0.143,0.594,0.301,0.346,0.917,0.229
810,49-9061.00,Camera and Photographic Equipment Repairers,0.456,0.473,0.071,0.0,0.571,0.619,0.381,0.476,0.429,0.524,0.281,0.654,0.143,0.381,1.0,0.171
811,49-9062.00,Medical Equipment Repairers,0.347,0.653,0.0,0.0,0.476,0.667,0.429,0.667,0.761,0.619,0.143,0.743,0.143,0.656,1.0,0.259
812,49-9063.00,Musical Instrument Repairers and Tuners,0.428,0.536,0.036,0.0,0.619,0.619,0.381,0.381,0.381,0.453,0.507,0.483,0.143,0.37,0.917,0.237
813,49-9064.00,Watch and Clock Repairers,0.23600000000000002,0.747,0.0,0.017,0.429,0.524,0.333,0.429,0.429,0.429,0.176,0.66,0.186,0.281,0.92,0.21
815,49-9071.00,"Maintenance and Repair Workers, General",0.26,0.724,0.003,0.012,0.476,0.571,0.381,0.571,0.714,0.524,0.173,0.594,0.219,0.359,1.0,0.254
816,49-9081.00,Wind Turbine Service Technicians,0.287,0.713,0.0,0.0,0.571,0.429,0.429,0.524,0.619,0.547,0.143,0.614,0.254,0.51,1.0,0.23
817,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.916,0.08399999999999999,0.0,0.0,0.381,0.667,0.333,0.667,0.524,0.429,0.143,0.816,0.27,0.257,0.869,0.176
818,49-9092.00,Commercial Divers,0.077,0.873,0.05,0.0,0.429,0.714,0.381,0.476,0.761,0.619,0.193,0.443,0.237,0.514,1.0,0.157
819,49-9094.00,Locksmiths and Safe Repairers,0.65,0.35,0.0,0.0,0.476,0.667,0.429,0.476,0.429,0.524,0.154,0.67,0.191,0.311,0.87,0.224
820,49-9095.00,Manufactured Building and Mobile Home Installers,0.987,0.012,0.0,0.0,0.429,0.571,0.333,0.714,0.761,0.476,0.217,0.557,0.167,0.271,0.976,0.244
821,49-9096.00,Riggers,0.841,0.16,0.0,0.0,0.381,0.476,0.381,0.761,0.714,0.476,0.194,0.529,0.267,0.341,1.0,0.143
822,49-9097.00,Signal and Track Switch Repairers,0.627,0.37299999999999994,0.0,0.0,0.476,0.619,0.333,0.524,0.761,0.596,0.143,0.649,0.143,0.381,0.923,0.167
823,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",0.34,0.659,0.0,0.0,0.286,0.381,0.286,0.761,0.571,0.31,0.157,0.576,0.233,0.28,0.999,0.259
825,49-9099.01,Geothermal Technicians,0.658,0.34199999999999997,0.0,0.0,0.571,0.429,0.381,0.476,0.571,0.547,0.143,0.713,0.254,0.491,0.911,0.24
826,51-1011.00,First-Line Supervisors of Production and Operating Workers,0.47,0.402,0.12,0.009,0.714,0.81,0.667,0.714,0.761,0.667,0.143,0.763,0.881,0.217,0.619,0.41
827,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.5800000000000001,0.263,0.156,0.0,0.476,0.476,0.429,0.619,0.953,0.547,0.249,0.536,0.193,0.379,1.0,0.143
828,51-2021.00,"Coil Winders, Tapers, and Finishers",0.588,0.412,0.0,0.0,0.286,0.333,0.19,0.333,0.667,0.357,0.143,0.596,0.2,0.326,0.934,0.16
829,51-2022.00,Electrical and Electronic Equipment Assemblers,0.802,0.198,0.0,0.0,0.286,0.381,0.286,0.667,0.81,0.357,0.26,0.614,0.143,0.476,1.0,0.177
830,51-2023.00,Electromechanical Equipment Assemblers,0.527,0.467,0.0,0.006,0.381,0.333,0.333,0.667,0.761,0.404,0.201,0.711,0.143,0.479,1.0,0.151
831,51-2031.00,Engine and Other Machine Assemblers,0.752,0.176,0.0,0.072,0.476,0.524,0.429,0.667,0.761,0.476,0.181,0.639,0.151,0.407,1.0,0.143
832,51-2041.00,Structural Metal Fabricators and Fitters,0.9470000000000001,0.053,0.0,0.0,0.429,0.333,0.333,0.476,0.714,0.476,0.234,0.544,0.151,0.38,1.0,0.143
833,51-2051.00,Fiberglass Laminators and Fabricators,0.883,0.11,0.006,0.0,0.381,0.333,0.333,0.619,0.667,0.381,0.317,0.499,0.164,0.29,0.963,0.143
834,51-2061.00,Timing Device Assemblers and Adjusters,0.937,0.022,0.0,0.042,0.381,0.381,0.333,0.333,0.524,0.453,0.17,0.659,0.163,0.303,0.963,0.143
835,51-2092.00,Team Assemblers,0.853,0.08,0.067,0.0,0.286,0.333,0.333,0.619,0.761,0.381,0.229,0.663,0.557,0.201,0.766,0.343
837,51-3011.00,Bakers,0.825,0.176,0.0,0.0,0.714,0.524,0.429,0.429,0.476,0.357,0.319,0.631,0.3,0.239,0.91,0.25
838,51-3021.00,Butchers and Meat Cutters,0.9029999999999999,0.097,0.0,0.0,0.381,0.429,0.333,0.476,0.381,0.357,0.253,0.546,0.394,0.206,0.9,0.263
839,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",0.987,0.0,0.0,0.013,0.286,0.286,0.239,0.524,0.667,0.31,0.143,0.576,0.207,0.263,1.0,0.191
840,51-3023.00,Slaughterers and Meat Packers,0.8939999999999999,0.106,0.0,0.0,0.239,0.286,0.19,0.619,0.619,0.214,0.199,0.504,0.303,0.317,0.94,0.244
841,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.836,0.164,0.0,0.0,0.286,0.333,0.286,0.476,0.667,0.357,0.157,0.597,0.26,0.227,0.977,0.181
842,51-3092.00,Food Batchmakers,0.517,0.482,0.0,0.0,0.286,0.286,0.239,0.476,0.619,0.31,0.29,0.636,0.393,0.3,0.86,0.21
843,51-3093.00,Food Cooking Machine Operators and Tenders,0.86,0.14,0.0,0.0,0.381,0.429,0.286,0.476,0.667,0.333,0.15,0.601,0.233,0.257,1.0,0.2
845,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.883,0.112,0.0,0.005,0.286,0.381,0.286,0.619,0.714,0.357,0.204,0.616,0.143,0.319,0.956,0.156
846,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",1.0,0.0,0.0,0.0,0.286,0.286,0.286,0.476,0.714,0.381,0.146,0.61,0.153,0.366,0.964,0.143
847,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.868,0.133,0.0,0.0,0.286,0.381,0.333,0.619,0.714,0.429,0.143,0.581,0.143,0.241,0.977,0.143
848,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.761,0.239,0.0,0.0,0.381,0.381,0.286,0.619,0.619,0.357,0.186,0.557,0.143,0.303,0.981,0.143
849,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.6669999999999999,0.262,0.071,0.0,0.333,0.476,0.333,0.524,0.667,0.5,0.143,0.61,0.143,0.393,1.0,0.143
850,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.8150000000000001,0.185,0.0,0.0,0.239,0.429,0.239,0.429,0.571,0.381,0.169,0.557,0.143,0.307,1.0,0.143
851,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.498,0.40499999999999997,0.0,0.097,0.429,0.429,0.286,0.239,0.761,0.404,0.143,0.59,0.143,0.28,1.0,0.143
852,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.57,0.241,0.188,0.0,0.333,0.381,0.286,0.333,0.761,0.404,0.17,0.601,0.143,0.32,1.0,0.143
853,51-4041.00,Machinists,0.495,0.504,0.0,0.0,0.381,0.476,0.381,0.286,0.761,0.476,0.276,0.631,0.176,0.529,1.0,0.166
854,51-4051.00,Metal-Refining Furnace Operators and Tenders,1.0,0.0,0.0,0.0,0.333,0.429,0.286,0.286,0.953,0.357,0.146,0.564,0.159,0.39,0.971,0.149
855,51-4052.00,"Pourers and Casters, Metal",1.0,0.0,0.0,0.0,0.333,0.381,0.286,0.429,0.714,0.333,0.17,0.51,0.143,0.349,1.0,0.161
856,51-4061.00,"Model Makers, Metal and Plastic",0.398,0.602,0.0,0.0,0.476,0.429,0.381,0.381,0.667,0.5,0.403,0.55,0.143,0.446,0.993,0.15
857,51-4062.00,"Patternmakers, Metal and Plastic",0.42200000000000004,0.5770000000000001,0.001,0.0,0.476,0.571,0.429,0.524,0.714,0.5,0.436,0.664,0.143,0.257,0.89,0.143
858,51-4071.00,Foundry Mold and Coremakers,1.0,0.0,0.0,0.0,0.286,0.381,0.286,0.381,0.714,0.357,0.313,0.469,0.143,0.336,0.971,0.161
859,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.873,0.128,0.0,0.0,0.286,0.381,0.286,0.429,0.667,0.333,0.213,0.59,0.15,0.344,1.0,0.151
860,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.827,0.171,0.0,0.0,0.286,0.381,0.286,0.476,0.714,0.404,0.143,0.659,0.143,0.307,1.0,0.149
861,51-4111.00,Tool and Die Makers,0.493,0.508,0.0,0.0,0.429,0.524,0.333,0.476,0.714,0.547,0.226,0.644,0.143,0.416,1.0,0.143
862,51-4121.00,"Welders, Cutters, Solderers, and Brazers",0.744,0.247,0.009,0.0,0.357,0.404,0.357,0.453,0.69,0.453,0.214,0.54,0.233,0.31,1.0,0.157
863,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.538,0.46199999999999997,0.0,0.0,0.333,0.524,0.286,0.619,0.81,0.404,0.179,0.554,0.199,0.301,1.0,0.163
864,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.899,0.101,0.0,0.0,0.333,0.429,0.286,0.524,0.761,0.381,0.143,0.581,0.143,0.314,0.974,0.223
865,51-4192.00,"Layout Workers, Metal and Plastic",0.649,0.351,0.0,0.0,0.476,0.524,0.381,0.571,0.714,0.476,0.396,0.564,0.143,0.377,0.919,0.147
866,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.96,0.006,0.034,0.0,0.286,0.286,0.333,0.619,0.667,0.357,0.201,0.586,0.143,0.319,1.0,0.143
867,51-4194.00,"Tool Grinders, Filers, and Sharpeners",0.583,0.418,0.0,0.0,0.333,0.429,0.333,0.286,0.714,0.381,0.19,0.617,0.143,0.306,1.0,0.143
869,51-5111.00,Prepress Technicians and Workers,0.41400000000000003,0.533,0.052,0.0,0.381,0.619,0.381,0.524,0.667,0.404,0.441,0.823,0.207,0.286,0.696,0.223
870,51-5112.00,Printing Press Operators,0.744,0.257,0.0,0.0,0.476,0.429,0.429,0.333,0.571,0.429,0.241,0.807,0.276,0.19,0.677,0.237
871,51-5113.00,Print Binding and Finishing Workers,0.923,0.078,0.0,0.0,0.476,0.524,0.429,0.429,0.571,0.453,0.326,0.721,0.176,0.187,0.763,0.209
872,51-6011.00,Laundry and Dry-Cleaning Workers,0.994,0.006,0.0,0.0,0.286,0.381,0.286,0.524,0.476,0.333,0.179,0.607,0.211,0.147,0.909,0.189
873,51-6021.00,"Pressers, Textile, Garment, and Related Materials",0.848,0.01,0.0,0.142,0.239,0.239,0.19,0.619,0.524,0.214,0.363,0.524,0.143,0.203,0.88,0.161
874,51-6031.00,Sewing Machine Operators,0.9430000000000001,0.057,0.0,0.0,0.286,0.333,0.239,0.381,0.619,0.31,0.244,0.56,0.167,0.197,0.963,0.17
875,51-6041.00,Shoe and Leather Workers and Repairers,1.0,0.0,0.0,0.0,0.381,0.381,0.239,0.381,0.476,0.333,0.464,0.421,0.213,0.229,0.976,0.189
876,51-6042.00,Shoe Machine Operators and Tenders,0.8440000000000001,0.156,0.0,0.0,0.333,0.333,0.286,0.571,0.381,0.261,0.194,0.594,0.219,0.276,0.95,0.196
877,51-6051.00,"Sewers, Hand",0.9299999999999999,0.065,0.0,0.005,0.333,0.571,0.286,0.333,0.524,0.381,0.413,0.461,0.18,0.143,0.897,0.231
878,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",0.746,0.16,0.095,0.0,0.619,0.619,0.381,0.619,0.381,0.5,0.571,0.426,0.313,0.153,0.873,0.281
879,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,0.913,0.087,0.0,0.0,0.286,0.381,0.286,0.571,0.619,0.31,0.164,0.613,0.159,0.307,0.973,0.173
880,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",1.0,0.0,0.0,0.0,0.333,0.333,0.286,0.524,0.619,0.357,0.214,0.646,0.24,0.224,0.907,0.171
881,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",1.0,0.0,0.0,0.0,0.286,0.239,0.239,0.524,0.667,0.357,0.236,0.613,0.2,0.25,0.979,0.149
882,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",1.0,0.0,0.0,0.0,0.286,0.381,0.239,0.429,0.619,0.333,0.19,0.617,0.219,0.211,0.929,0.143
883,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.935,0.065,0.0,0.0,0.286,0.381,0.286,0.571,0.857,0.31,0.181,0.579,0.201,0.316,0.929,0.174
884,51-6092.00,Fabric and Apparel Patternmakers,0.436,0.301,0.264,0.0,0.476,0.524,0.333,0.571,0.571,0.524,0.78,0.616,0.214,0.183,0.789,0.196
885,51-6093.00,Upholsterers,1.0,0.0,0.0,0.0,0.476,0.476,0.333,0.476,0.619,0.476,0.443,0.42,0.143,0.269,0.983,0.191
887,51-7011.00,Cabinetmakers and Bench Carpenters,0.734,0.266,0.0,0.0,0.476,0.476,0.381,0.619,0.524,0.453,0.347,0.509,0.173,0.296,1.0,0.163
888,51-7021.00,Furniture Finishers,0.967,0.032,0.0,0.0,0.286,0.333,0.333,0.476,0.571,0.357,0.401,0.417,0.143,0.206,1.0,0.181
889,51-7031.00,"Model Makers, Wood",0.505,0.351,0.143,0.0,0.476,0.714,0.381,0.429,0.714,0.453,0.551,0.57,0.221,0.37,1.0,0.193
890,51-7032.00,"Patternmakers, Wood",0.579,0.42000000000000004,0.0,0.0,0.381,0.476,0.381,0.524,0.714,0.453,0.553,0.571,0.177,0.299,0.956,0.177
891,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",0.8099999999999999,0.19,0.0,0.0,0.429,0.476,0.286,0.429,0.761,0.429,0.143,0.59,0.143,0.333,1.0,0.161
892,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.938,0.046,0.017,0.0,0.333,0.476,0.333,0.429,0.81,0.429,0.164,0.593,0.147,0.347,1.0,0.169
894,51-8011.00,Nuclear Power Reactor Operators,0.501,0.345,0.153,0.0,0.524,0.476,0.524,0.524,0.904,0.571,0.143,0.736,0.386,0.464,0.749,0.31
895,51-8012.00,Power Distributors and Dispatchers,0.216,0.728,0.056,0.0,0.619,0.714,0.524,0.667,0.857,0.667,0.143,0.726,0.429,0.359,0.737,0.279
896,51-8013.00,Power Plant Operators,0.633,0.242,0.125,0.0,0.476,0.524,0.381,0.714,0.81,0.5,0.143,0.726,0.28,0.377,0.947,0.197
897,51-8013.03,Biomass Plant Technicians,0.531,0.372,0.097,0.0,0.524,0.429,0.429,0.381,0.571,0.571,0.143,0.689,0.25,0.446,0.996,0.174
898,51-8013.04,Hydroelectric Plant Technicians,0.028,0.9040000000000001,0.069,0.0,0.571,0.429,0.429,0.429,0.571,0.571,0.143,0.669,0.253,0.469,1.0,0.173
